name	id	iso3166_1_alpha2	iso3166_1_shortname	fips10_4	capital	fifa_code	iso_numeric	iso_alpha_3	administrative_divisions	currency_used	official_language	gdp_nominal	gdp_nominal_per_capita	internet_tld	languages_spoken	form_of_government	national_anthem	currency_formerly_used	calling_code
Russia	/m/06bnz		RUSSIAN FEDERATION	RS	Moscow				Kurgan Oblast,Vologda Oblast,Dagestan,Khabarovsk Krai,Sakha Republic,Northwestern Federal District,Udmurtia,Urals Federal District,Kalmykia,Yaroslavl Oblast,Kaluga Oblast,Novgorod Oblast,Chelyabinsk Oblast,Komi Republic,Ulyanovsk Oblast,Murmansk Oblast,Jewish Autonomous Oblast,Lipetsk Oblast,Kuril Islands,Primorsky Krai,Tver Oblast,Saint Petersburg,Magadan Oblast,Central Federal District,Kaliningrad Oblast,Yoshkar-Ola,Samara Oblast,Koryak Autonomous Okrug,Moscow Oblast,Taymyr Autonomous Okrug,Tyumen Oblast,Volgograd Oblast,Karachay-Cherkessia,Mari El,Altai Republic,Tambov Oblast,Orenburg Oblast,Altai Krai,Ryazan Oblast,Krasnodar Krai,Siberian Federal District,Buryatia,Saratov Oblast,Nenets Autonomous Okrug,Tuva,Yamalo-Nenets Autonomous Okrug,Bashkortostan,Ingushetia,Voronezh Oblast,Kostroma Oblast,Kabardino-Balkaria,Mordovia,Novosibirsk Oblast,Penza Oblast,Kemerovo Oblast,Krasnoyarsk Krai,Ust-Orda Buryat Autonomous Okrug,Nizhny Novgorod Oblast,Chechnya,Khanty-Mansi Autonomous Okrug,Stavropol Krai,Pskov Oblast,North Ossetia-Alania,Far Eastern Federal District,Astrakhan Oblast,Arkhangelsk Oblast,Kursk Oblast,Kamchatka Oblast,Perm Krai,Volga Federal District,Sakhalin Oblast,Chukotka Autonomous Okrug,Rostov Oblast,Southern Federal District,Ivanovo Oblast,Republic of Karelia,Agin-Buryat Autonomous Okrug,Omsk Oblast,Khakassia,Moscow,Vladimir Oblast,Tatarstan,Leningrad Oblast,Chuvashia,Irkutsk Oblast,Amur Oblast,Adygea,Sverdlovsk Oblast,Belgorod Oblast,Evenk Autonomous Okrug,Smolensk Oblast,Bryansk Oblast,Kirov Oblast,Chita Oblast,Tula Oblast,Tomsk Oblast,Oryol Oblast	Russian ruble	Russian Language			su,.рф,ru	Russian Language,Yiddish Language,Ukrainian Language,Tatar Language,Chuvash Language	Presidential system,Semi-presidential system,Republic	/m/0bwnwv9		7
Sierra Leone	/m/06s_2		SIERRA LEONE	SL	Freetown				Southern Province,Northern Province,Western Area,Eastern Province	Sierra Leonean leone	Bengali Language,English Language			sl	Krio Language,Mende Language,Themne Language,English Language,Fula language	Constitutional republic,Republic,Constitutional democracy			
Kingdom of Hungary	/m/03l5m1				Esztergom,Debrecen,Bratislava,Budapest,Székesfehérvár														
Royal Lao Government in Exile	/m/03gxwc5															Government in exile			
Scotland	/m/06q1r				Edinburgh					UK £	Goidelic languages,Scottish Gaelic language,Scottish English			uk	Old English language,British English	Devolution,Constitutional monarchy	/m/0b_kldy,/m/0d8c1kr,/m/0b_kvm1,/m/0d8c0sc,/m/0b_kvq7		
Romania	/m/06c1y		ROMANIA	RO	Bucharest				Caraş-Severin County,Olt County,Galaţi County,Ialomiţa County,Vrancea County,Teleorman County,Dolj County,Bihor County,Hunedoara County,Bucharest,Constanţa County,Vâlcea County,Satu Mare County,Mehedinţi County,Alba County,Maramureş County,Argeş County,Neamţ County,Vaslui County,Covasna County,Harghita County,Gorj County,Botoşani County,Sălaj County,Mureş County,Buzău County,Iaşi County,Brăila County,Timiş County,Braşov County,Dâmboviţa County,Tulcea County,Suceava County,Covurlui,Ilfov County,Prahova County,Cluj County,Arad County,Bacău County,Călăraşi County,Giurgiu County,Bistriţa-Năsăud County,Sibiu County	Romanian leu	Romanian Language			ro,eu	Hungarian,Torlakian,Romanian Language,Ukrainian Language,Romani language	Republic,Semi-presidential system	/m/063pscp		
Croatia	/m/01pj7		CROATIA	HR	Zagreb				Dubrovnik-Neretva County,Zagreb County,Vukovar-Syrmia County,Karlovac County,Zadar County,Međimurje County,Požega-Slavonia County,Primorje-Gorski Kotar County,Varaždin County,Split-Dalmatia County,Sisak-Moslavina County,Šibenik-Knin County,Krapina-Zagorje County,Virovitica-Podravina County,Koprivnica-Križevci County,Lika-Senj County,Brod-Posavina County,Osijek-Baranja County,Zagreb,Bjelovar-Bilogora County,Istria County	Croatian dinar,Croatian kuna	Croatian language			hr	Hungarian	Parliamentary republic	/m/0d9d3b4	Croatian dinar	
Saudi Arabia	/m/01z215		SAUDI ARABIA	SA	Riyadh				Ar Riyad Province,Western Province,Al Hudud ash Shamaliyah,Al Bahah Province,Ha'il Province,Jizan Province,Ash Sharqiyah Province,Al Qasim,Tabuk Province,Al Jawf Province,Al Madinah	Saudi riyal	Arabic Language			sa	Arabic Language	Absolute monarchy	/m/04q5_60		
Kingdom of Great Britain	/m/014tss																		
Independent Republic of Zulia	/m/0417l2t				Maracaibo					Venezuelan bolívar	Spanish Language								
Classical Athens	/m/03nmzqx				Athens						Ancient Greek					Athenian democracy			
Saint-Pierre and Miquelon	/m/06s4c		SAINT PIERRE AND MIQUELON	SB	Saint-Pierre					Euro,Dollar sign,Canadian dollar	French Language			pm					
Liechtenstein	/m/04j53		LIECHTENSTEIN	LS	Vaduz				Eschen,Triesenberg,Ruggell,Schaan,Balzers,Schellenberg,Triesen,Gamprin,Vaduz,Mauren,Planken	Austrian krone,Swiss franc,Austro-Hungarian krone	German Language			li	German Language	Constitutional monarchy,Monarchy,Parliamentary system,Principality		Austro-Hungarian krone	
Grand Duchy of Finland	/m/02zbz5				Turku,Helsinki														
Republic of Genoa	/m/02q14r																		
Russian Provisional Government	/m/0276wv																/m/0d7qjy4		
Sicily	/m/06w92																		
Israel	/m/03spz		ISRAEL	IS	East Jerusalem,Jerusalem				Center District,South District,North District,Haifa District,Jerusalem District,Tel Aviv District	Israeli new sheqel	Hebrew Language,Arabic Language,English Language			il	Hebrew languages,Hebrew Language,Lojban,Ladino Language,Arabic Language,Yiddish Language	Republic,Parliamentary system	/m/03k0fx9	Israeli pound,Israeli sheqel	972
Jordan	/m/03__y		JORDAN	JO	Amman				Tafilah Governorate,Ajlun Governorate,Karak Governorate,Aqaba Governorate,Irbid Governorate,Jerash Governorate,Balqa,Zarqa Governorate,Mafraq Governorate,Ma'an Governorate,Amman Governorate,Madaba Governorate	Jordanian dinar	English Language,Arabic Language			jo	Arabic Language,Bedawi Arabic	Monarchy,Constitutional monarchy	/m/0d9h30n		
Great Moravia	/m/01q6c7				Mikulčice														
Barbados	/m/0162v		BARBADOS	BB	Bridgetown				Saint Thomas Parish,Christ Church Parish,Saint Peter Parish,Saint Joseph Parish,Saint John Parish,Saint Philip Parish,Saint James Parish,Saint Andrew Parish,Saint Michael Parish,Saint Lucy Parish,Saint George Parish	Barbados dollar	English Language			bb	English Language	Parliamentary system,Constitutional monarchy			
Federal Republic of Yugoslavia	/m/018j0w																		
Malaysia	/m/09pmkv		MALAYSIA	MY	Putrajaya,Kuala Lumpur				Johor,Penang,Putrajaya,Terengganu,Kuala Lumpur,Kelantan,Sarawak,Perlis,Perak,Kedah,Negeri Sembilan,Malacca,Pahang,Labuan,Selangor,Sabah	Malaysian ringgit	English Language,Malay Language,Malaysian language			my	English Language,Malay Language,Chinese language,Tamil Language	Federation,Constitutional monarchy,Monarchy,Parliamentary system		Indian rupee	60
Cyprus	/m/01ppq		CYPRUS	CY	Nicosia				Larnaca District,Famagusta District,Paphos District,Nicosia District,Kyrenia District,Limassol District	Euro	Greek Language,Turkish Language			cy		Presidential system	/m/0d9d9jc		
Republic of Cabinda	/m/025tnp1															Government in exile			
Mozambique	/m/04wlh		MOZAMBIQUE	MZ	Maputo				Sofala,Manica Province,Cabo Delgado,Gaza Province,Maputo,Tete Province,Nampula Province,Zambezia Province,Inhambane,Niassa Province,Maputo Province	Mozambican escudo,Mozambican metical	Portuguese Language			mz	Portuguese Language,Swahili Language	Presidential system,Republic	/m/0fq65cj	Mozambican escudo	258
Morocco	/m/04wgh		MOROCCO	MO	Rabat				Laâyoune-Boujdour-Sakia El Hamra,Guelmim,Gharb-Chrarda-Béni Hssen,Marrakech-Tensift-El Haouz,Souss-Massa-Draâ,Tangier-Tétouan,Guelmim-Es Semara,Oriental Region,Grand Casablanca,Meknès-Tafilalet,Fès-Boulemane,Taza-Al Hoceima-Taounate,Doukkala-Abda,Chefchaouen,Western Sahara,Oued Ed-Dahab-Lagouira,Tadla-Azilal,Rabat-Salé-Zemmour-Zaer,Chaouia-Ouardigha	Moroccan dirham	Arabic Language,French Language,Berber languages			ma	Arabic Language	Monarchy,Constitutional monarchy	/m/09v8rnk		
Malawi	/m/04tr1		MALAWI	MI	Lilongwe				Mchinji District,Machinga District,Likoma District,Nsanje District,Chitipa District,Salima District,Mwanza District,Chikwawa District,Chiradzulu District,Lilongwe District,Thyolo District,Nkhata Bay District,Ntchisi District,Balaka District,Karonga District,Dedza District,Mulanje District,Rumphi District,Mzimba District,Blantyre District,Phalombe District,Zomba District,Mangochi District,Dowa District,Ntcheu District,Nkhotakota District,Kasungu District	Malawian pound,Malawian kwacha	English Language,Chewa language			mw	Afrikaans Language,Swahili Language	Democracy		Malawian pound	
Kiribati	/m/047t_		KIRIBATI	KR	South Tarawa				Line Islands,Gilbert Islands,Phoenix Islands	Kiribati dollar,Australian dollar	Kiribati language,English Language			ki	English Language,Kiribati language	Republic	/m/0d9h5v4		686
Lithuania	/m/04gzd		LITHUANIA	LH	Vilnius				Vilnius County,Šiauliai County,Telšiai County,Klaipėda County,Kaunas County,Alytus County,Marijampolė County,Panevėžys County,Tauragė County,Utena County	Lithuanian litas	Lithuanian language			lt	Russian Language,Lithuanian language	Semi-presidential system	/m/0g51p6r		370
Mauritania	/m/04vjh		MAURITANIA	MR	Nouakchott				Hodh Ech Chargui,Assaba,Tagant,Dakhlet Nouadhibou,Gorgol,Brakna,Inchiri,Hodh El Gharbi,Trarza,Tiris Zemmour,Adrar,Guidimaka	Mauritanian ouguiya	Arabic Language,French Language			mr	Fula language,Arabic Language	Republic,Military dictatorship,Islamic republic			
Paddington	/m/0nbrp																		
Aruba	/m/0j11		ARUBA	AA	Oranjestad					Aruban florin,Euro	English Language,Dutch Language,Spanish Language,Papiamento language			aw		Constitutional monarchy			
Italy	/m/03rjj		ITALY	IT	Rome				Province of Pesaro e Urbino,Province of Caltanissetta,Province of Udine,Province of Taranto,Aosta Valley,Province of La Spezia,Province of Messina,Province of Avellino,Province of Cuneo,Province of Forlì-Cesena,Province of Terni,Province of Pescara,Province of Imperia,Province of Prato,Campania,Lombardy,Province of Brindisi,Province of Reggio Calabria,Province of Parma,Province of Vibo Valentia,Naples,Province of Arezzo,Province of Massa-Carrara,Florence,Province of Nuoro,Province of Bergamo,Province of Foggia,Abruzzo,Province of Lodi,Province of Novara,Rome,Province of Bari,Province of Florence,Province of Milan,Province of Fermo,Province of Sondrio,Province of Medio Campidano,Province of Oristano,Liguria,Province of Cremona,Province of Ancona,Province of Ogliastra,Province of Lecco,Province of Enna,Province of Bolzano-Bozen,Province of Potenza,Province of Modena,Lazio,Province of Caserta,Province of Venice,Province of Catania,Sardinia,Province of Rimini,Province of Mantua,Province of Syracuse,Province of Ferrara,Province of Barletta-Andria-Trani,Friuli-Venezia Giulia,Province of Belluno,Molise,Milan,Pisa,Province of Savona,Province of Lucca,Province of Reggio Emilia,Province of L'Aquila,Calabria,Emilia-Romagna,Province of Catanzaro,Trentino-Alto Adige/South Tyrol,Province of Turin,Province of Crotone,Province of Matera,Province of Ravenna,Province of Naples,Province of Pavia,Province of Vercelli,Province of Benevento,Municipio IX,Province of Trento,Province of Rovigo,Province of Piacenza,Province of Lecce,Sicily,Province of Pisa,Venice,Province of Cagliari,Province of Ragusa,Basilicata,Veneto,Province of Rieti,Province of Rome,Province of Livorno,Province of Perugia,Province of Isernia,Province of Siena,Province of Trieste,Province of Varese,Province of Viterbo,Province of Sassari,South Tyrol,Province of Frosinone,Province of Trapani,Province of Salerno,Province of Genoa,Province of Pordenone,Province of Latina,Province of Asti,Tuscany,Province of Alessandria,Province of Verbano-Cusio-Ossola,Province of Teramo,Province of Carbonia-Iglesias,Province of Treviso,Province of Como,Province of Gorizia,Province of Bologna,Umbria,Apulia,Province of Pistoia,Province of Palermo,Province of Ascoli Piceno,Province of Cosenza,Province of Padua,Province of Brescia,Province of Macerata,Province of Grosseto,Province of Olbia-Tempio,Como,Province of Vicenza,Piedmont,Province of Biella,Province of Verona,Marche,Province of Chieti,Province of Monza e Brianza,Province of Agrigento,Province of Campobasso	Euro,San Marinese lira	Italian Language			it	Italian Language,Esperanto Language,Occitan language	Parliamentary republic	/m/0478l9q	San Marinese lira,Italian lira	39
Lesotho	/m/04hvw		LESOTHO	LT	Maseru				Mohale's Hoek District,Qacha's Nek District,Thaba-Tseka District,Quthing District,Hlotse,Berea District,Mafeteng District,Maseru District,Butha-Buthe District,Mokhotlong District	Lesotho loti	Sotho, Southern Language,English Language			ls	English Language	Parliamentary system,Constitutional monarchy			
Navassa Island	/m/05bv3			BQ															
Duchy of Burgundy	/m/03bw_lf				Bruges,Ghent,Dijon														
Emirate of Sicily	/m/0bd46l				Palermo														
China	/m/0d05w3		CHINA	CH	Beijing				Qinghai,Hainan,Yunnan,Beijing,Hubei,Henan,Hong Kong,Macau,Ningxia,Chongqing,Inner Mongolia,Tibet,Guangdong Province,Heilongjiang,Anhui,Xinjiang,Hunan,Jilin,Tianjin,Shanghai,Paracel Islands,Zhejiang,Nanjing,Chengdu,Jiangsu,The Claimed Taiwan Province of the People's Republic of China,Sichuan,Wuhan,Fujian,Guangxi,Hefei,Liaoning,Gansu,Guizhou,Shaanxi,Tibet Autonomous Region,Shandong,Shanxi,Hebei,Jiangxi	Renminbi	Standard Mandarin,Chinese language			mo,cn,hk	Korean Language,Chinese language,Cantonese,Nepali Language,Esperanto Language	Single-party state,Communist state,Dictatorship	/m/0bwbghs	Huizi,Gold yuan	86
Egypt	/m/02k54		EGYPT	EG	Cairo				Kafr El Sheikh Governorate,Al Iskandariyah Governorate,Al Wadi al Jadid,Shamal Sina',Asyut,Bani Suwayf Governorate,Al Isma'iliyah Governorate,Al Jizah Governorate,As Suways Governorate,Ash Sharqiyah Governorate,Aswan Governorate,Suhaj Governorate,Janub Sina',Qina,Al Qahirah Governorate,Al Minya Governorate,Qina Governorate,Al Buhayrah Governorate,Al Bahr al Ahmar,Al Fayyum Governorate,Dimyat Governorate,Al Qalyubiyah,Al Gharbiyah Governorate,Ad Daqahliyah,Bur Sa'id Governorate,Al Minufiyah,Bani Suwayf,Matruh	Egyptian pound	English Language,Arabic Language,Modern Standard Arabic,French Language			eg	Arabic Language,Bedawi Arabic	Semi-presidential system,Dictatorship,Republic	/m/0478lbx		20
French First Republic	/m/0gtzp				Paris											French Directory,French Consulate,Republic,National Convention			
Slovakia	/m/06npd		SLOVAKIA	LO	Bratislava				Nitra Region,Banská Bystrica Region,Prešov Region,Košice Region,Bratislava Region,Žilina Region,Trnava Region,Trenčín Region	Slovak koruna,Euro	Slovak Language			sk	Hungarian	Parliamentary republic	/m/0d9dgnp	Czechoslovak koruna	
Kingdom of Croatia-Slavonia	/m/08t9sy																		
Nicaragua	/m/05c74		NICARAGUA	NU	Managua				Matagalpa,Chontales,Madriz,Región Autónoma del Atlántico Sur,Rivas,León,Chinandega,Estelí,Río San Juan,Boaco,Granada,Masaya,Managua,Jinotega,Carazo,Nueva Segovia,Región Autónoma del Atlántico Norte	Nicaraguan córdoba	Mískito Language,Spanish Language			ni	Spanish Language	Presidential system,Republic			
Democratic Republic of the Congo	/m/088xp			CG	Kinshasa				Équateur,Orientale, Congo,Nord-Kivu,Kasai-Occidental,Katanga Province,Bandundu,Sud-Kivu,Kivu,Maniema,Kasai-Oriental,Kongo Central,Kinshasa,Bandundu Province	Congolese franc	French Language,Lingala Language			cd	Swahili Language,Bemba language	Semi-presidential system,Republic	/m/0431mb_,/m/0431mc6		
Kosovo	/m/04fh3				Priština					Euro				rs,net,com	Serbian language,Torlakian				
New Caledonia	/m/05c17		NEW CALEDONIA	NC	Nouméa					CFP franc,French franc	French Language			nc				French franc	
Belarusian National Republic	/m/03msdy				Hrodna,Prague,Minsk											Government in exile			
Guinea	/m/03676		GUINEA	GV	Conakry				Dubréka,Kindia,Kouroussa Prefecture,Dabola Prefecture,Koubia Prefecture,Dubréka Prefecture,Forécariah,Télimélé,Nzérékoré,Kankan Prefecture,Kindia Prefecture,Boké,Kankan,Koundara,Lola Prefecture,Kérouané,Boffa Prefecture,Nzérékoré Prefecture,Gaoual,Faranah Prefecture,Mamou,Pita,Dalaba,Siguiri Prefecture,Faranah,Télimélé Prefecture,Boké Prefecture,Dalaba Prefecture,Siguiri,Guéckédougou,Labé Prefecture,Dinguiraye Prefecture,Kérouané Prefecture,Fria,Koubia,Forécariah Prefecture,Mali Prefecture,Macenta Prefecture,Coyah Prefecture,Dabola,Labé,Lélouma Prefecture,Koundara Prefecture,Kissidougou,Conakry,Tougué,Tougué Prefecture,Mamou Prefecture,Mandiana Prefecture,Kouroussa,Fria Prefecture,Gaoual Prefecture,Lélouma,Pita Prefecture,Guéckédou Prefecture,Mandiana,Beyla Prefecture,Yomou,Kissidougou Prefecture,Yomou Prefecture,Dinguiraye	Guinean franc,Guinean syli	French Language			gn	Fula language,French Language	Presidential system,Military dictatorship,Republic,Military junta		Guinean syli	
Ireland	/m/012wgb																		
Jamaica	/m/01sn04																		
Empire of Japan	/m/0193qj																		
Chechen Republic of Ichkeria	/m/0dfrl8				Grozny											Government in exile			
Northern Cyprus	/m/01nx28				Nicosia					Turkish lira,Turkish new lira,Euro	Turkish Language			tr,cc		Republic,Representative democracy		Turkish lira	
Kingdom of Prussia	/m/01k6y1				Berlin														
Turkey	/m/01znc_		TURKEY	TU	Ankara				Afyonkarahisar Province,Artvin Province,Balıkesir Province,Isparta Province,Düzce Province,Bolu Province,Kırıkkale Province,Yalova Province,Edirne Province,Konya Province,Muş Province,Manisa Province,Kahramanmaraş Province,Hakkari Province,Kırklareli Province,Şanlıurfa Province,Osmaniye Province,Kayseri Province,Mardin Province,Sivas Province,Malatya Province,Hatay Province,Bingöl Province,Trabzon Province,Aksaray Province,Tunceli Province,Adıyaman Province,Sakarya Province,Kastamonu Province,Rize Province,Kırşehir Province,Burdur Province,Denizli Province,Uşak Province,Çankırı Province,Mersin Province,Bartın Province,Yozgat Province,Ordu Province,Tekirdağ Province,Batman Province,Erzurum Province,Diyarbakır Province,Kocaeli Province,Ağrı Province,Kilis Province,Northern Cyprus,Bitlis Province,Tokat Province,Bursa Province,Adana Province,Van Province,Iğdır Province,İzmir Province,Şırnak Province,Niğde Province,Samsun Province,Eskişehir Province,Zonguldak Province,Ardahan Province,Çorum Province,Kars Province,Giresun Province,Nevşehir Province,Erzincan Province,Kütahya Province,Siirt Province,Amasya Province,Bayburt Province,Çanakkale Province,Gaziantep Province,Muğla Province,Aydın Province,Istanbul Province,Gümüşhane Province,Sinop Province,Karaman Province,Antalya Province,Karabük Province,Bilecik Province,Elazığ Province,Ankara Province	Turkish new lira,Turkish lira	Turkish Language			tr	Ladino Language	Parliamentary republic	/m/059kj6v	Turkish lira	
British West Indies	/m/01r188																		
Cocos Islands	/m/01p6l		COCOS (KEELING) ISLANDS	CK						Australian dollar	English Language			cc					
Mongol Empire	/m/01jv68				Beijing,Xanadu														
Southern Rhodesia	/m/01ptlk				Harare					Southern Rhodesian pound									
Kingdom of England	/m/024pcx				Winchester,London,Westminster											Monarchy			
Spanish Empire	/m/01s47p																		
Kingdom of Naples	/m/01m41_																		
Ancient Cilicia	/m/02k_m32																		
Guinea-Bissau	/m/036b_		GUINEA-BISSAU	PU	Bissau				Bissau Region,Tombali Region,Bafatá Region,Oio Region,Biombo Region,Cacheu Region,Bolama Region,Gabú Region,Quinara Region	CFA franc,Guinea Bissau peso,West African CFA franc	Portuguese Language			gw	Fula language,Portuguese Language	Semi-presidential system,Republic	/m/0d8bg6f	Guinea Bissau peso	
Palestine	/m/0h44w									Palestinian pound									
Wales	/m/0j5g9				Cardiff					UK £	Welsh Language,English Language			gb,eu,uk	British English	Constitutional monarchy,Devolution	/m/03k0fp5		
Afghanistan	/m/0jdd		AFGHANISTAN	AF	Kabul				Ghazni Province,Farah Province,Paktia Province,Jowzjan Province,Takhar Province,Kunar Province,Nimruz Province,Lowgar Province,Laghman Province,Samangan Province,Helmand Province,Bamiyan Province,Faryab Province,Nurestan Province,Orūzgān Province,Balkh Province,Kapisa Province,Wardak Province,Nangarhar Province,Ghowr Province,Khost Province,Kunduz Province,Herat Province,Baghlan Province,Parvān Province,Dāykondī Province,Panjshīr Province,Badghis Province,Kabul Province,Kandahar Province,Paktika Province,Sar-e Pol Province,Badakhshan Province,Zabul Province	Afghan afghani	Pashto language,Persian Language,Dari			af	Pashto language,Dari,Persian Language	Islamic republic,Presidential system		Abasi	
Puerto Rico	/m/05r7t		PUERTO RICO	RQ	San Juan					US$	Spanish Language,English Language			pr,us	English Language,Spanish Language	Republic,Democracy	/m/0bwrx95		
Austria	/m/0h7x		AUSTRIA	AU	Vienna				Salzburg,Kufstein,Carinthia,Styria,Burgenland,Upper Austria,Lower Austria,Vorarlberg,Schwaz,Tyrol,Vienna	Austrian krone,Euro,Austrian schilling	Hungarian,Slovenian language,Croatian language,Austrian German,German Language	/m/02xl060	/m/02xl06c	at	Bavarian Language,Hungarian,German Language	Federal republic,Parliamentary republic		Austrian schilling	43
Kingdom of Italy	/m/05jt5h																	Italian lira	
Tonga	/m/07fb6		TONGA	TN	Nuku'alofa					Tongan pa'anga	English Language,Tongan Language,French Language			to		Constitutional monarchy,Monarchy			
Armenia	/m/0jgx		ARMENIA	AM	Yerevan				Aragatsotn,Alaverdi,Goris Province,Ararat,Kotayk,Armavir,Gegharkunik,Ijevan,Shirak,Yerevan,Jermuk	Armenian dram	Armenian Language			am		Presidential system			
Albania	/m/0jdx		ALBANIA	AL	Tirana				Kavajë District,Durrës District,Gramsh District,Tropojë District,Pogradec District,Korçë District,Kurbin District,Fier District,Devoll District,Korçë County,Vlorë District,Mat District,Librazhd District,Gjirokastër District,Dibër District,Lezhë District,Has District,Pukë District,Skrapar District,Lezhë County,Tiranë District,Durrës County,Gjirokastër County,Vlorë County,Delvinë District,Shkodër County,Kolonjë District,Përmet District,Krujë District,Kukës County,Mirditë District,Kuçovë District,Bulqizë District,Malësi e Madhe District,Fier County,Sarandë District,Berat District,Dibër County,Elbasan County,Shkodër District,Kukës District,Lushnjë District,Berat County,Tepelenë District,Peqin District,Tiranë County,Mallakastër District,Elbasan District	Albanian lek	Albanian language			al	Vlach language,Romani language,Albanian language,Greek Language	Parliamentary system,Parliamentary republic	/m/04dwhj1,/m/0d7vmrj		355
United Arab Emirates	/m/0j1z8		UNITED ARAB EMIRATES	AE	Abu Dhabi				Sharjah,Ras al-Khaimah,Abu Dhabi,Umm al-Quwain,Fujairah,Ajmān,Dubai	United Arab Emirates dirham	Arabic Language			ae	Arabic Language	Emirate,Absolute monarchy,Monarchy		Indian rupee	971
Pakistan	/m/05sb1		PAKISTAN	PK	Islamabad				Sindh,Islamabad Capital Territory,Azad Kashmir,Federally Administered Tribal Areas,Balochistan,Khyber Pakhtunkhwa,Punjab	Pakistani rupee	Seraiki Language,Sindhi Language,Urdu Language,Punjabi language,Balochi language,Pashto language,English Language			pk	Hindustani language,Punjabi language,English Language,Balochi language,Urdu Language,Pashto language,Sindhi Language	Federation,Federal republic,Republic,Parliamentary republic,Semi-presidential system,Democracy,Parliamentary system,Islamic republic		Indian rupee	92
Great Seljuq Empire	/m/02z62v1				Nishapur,Isfahan,Ray														
Mataram Sultanate	/m/04gd3n																		
Principality of Wales	/m/0576g9				Dolwyddelan,Abergwyngregyn						Welsh Language				Welsh Language	Monarchy,Principality			
Mexico	/m/0b90_r		MEXICO	MX	Mexico City				Nuevo León,Nayarit,Coahuila,Roma Sur,Morelos,Roma Norte,Veracruz,Michoacán,San Luis Potosí,Mexico City,Hidalgo,Vista Alegre,Colonias of Mexico City,Querétaro,Baja California Sur,Álvaro Obregón, D.F.,Tamaulipas,Colima,Doctores,Nonoalco Tlatelolco,Yucatán,Colonia,Jalisco,Condesa,Esperanza,Cuauhtémoc, D.F.,Sinaloa,Delegaciones del Distrito Federal,Mexico State,Hipódromo-Condesa,Chiapas,Chihuahua,Azcapotzalco, D.F.,Tlaxcala,Paulino Navarro,Tabasco,Hipódromo,Guanajuato,Durango,Algarin,Zacatecas,Quintana Roo,San Simón Tolnahuac,Sonora,Ampliación Asturias,Obrera,Juárez,Transito,Delegación,Baja California,States of Mexico,Guerrero,Asturias,Aguascalientes,Iztacalco, D.F.,Campeche,Buenos Aires,Puebla,Oaxaca	MX,Mexican peso	Spanish Language	/m/02_4tbx	/m/02_4tc7	mx	Tarahumara language,Maya, Yucatán Language,Spanish Language,Nahuatl language	Constitutional republic,Federal republic,Democracy,Presidential system,Constitution	/m/0478l4_		52
French Polynesia	/m/02wzv		FRENCH POLYNESIA	FP	Papeete				Tuamotu-Gambier Islands,Austral Islands,Marquesas Islands,Windward Islands,Leeward Islands	CFP franc	Tahitian Language,French Language			pf				French franc	
Gabon	/m/03548			GB	Libreville				Ogooué-Maritime,Nyanga,Ngounié,Moyen-Ogooué,Ogooué-Ivindo,Estuaire,Haut-Ogooué,Ogooué-Lolo,Woleu-Ntem	CFA franc,Central African CFA franc	Spanish Language,French Language			ga	French Language	Republic	/m/0d9g63b		
Roman Republic	/m/06frc				Rome														
Republic of China	/m/06f32		"TAIWAN, PROVINCE OF CHINA"	TW	Nanjing,Taipei				Chiayi County,Wang-an Township,Pescadores,Taiwan Province,Taoyuan County,Nantou County,Kaohsiung,Taipei County,Changhua County,Tainan County,Pingtung County,Hsinchu County,Taichung County,Chiayi,Taichung,Yunlin County,Hsinchu,Keelung,Taitung County,Yilan County,Miaoli County,Kaohsiung County,Fujian Province,Hualien County,Tainan City,Taipei	Chinese customs gold unit,New Taiwan dollar,Old Taiwan dollar	Taiwanese Mandarin			tw	Taiwanese Mandarin,Chinese, Hakka Language,Taiwanese	Government in exile,Semi-presidential system,Republic	/m/0bwbd8f	Old Taiwan dollar,Chinese customs gold unit	886
Uzbekistan	/m/07t_x		UZBEKISTAN	UZ	Tashkent				Xorazm Province,Jizzakh Province,Andijan Province,Fergana Province,Samarqand Province,Tashkent,Toshkent Province,Sirdaryo Province,Namangan Province,Buxoro Province,Qashqadaryo Province,Navoiy Province,Karakalpakstan,Surxondaryo Province	Uzbekistani som	Uzbek language			uz	Persian Language	Republic,Presidential system,Dictatorship	/m/0fq7b6g		
Northern Mariana Islands	/m/05cnr		NORTHERN MARIANA ISLANDS	CQ	Saipan					US$	English Language,Carolinian Language,Chamorro Language			mp		Presidential system,Representative democracy			
Macedon	/m/0bk25				Vergina,Pella, Greece														
USAustria	/m/0g4tvkw																		
Malta	/m/04v3q		MALTA	MT	Valletta				Gozo	Euro	Maltese Language,English Language			mt	English Language	Parliamentary republic		Maltese lira	
Andorra	/m/0hg5		ANDORRA	AN	Andorra la Vella				Canillo,Andorra la Vella,Ordino,Sant Julià de Lòria,La Massana,Escaldes-Engordany,Encamp	Euro	Spanish Language,French Language,Catalan language,Portuguese Language			ad	Catalan language,Portuguese Language,Spanish Language	Diarchy,Co-regency,Monarchy,Principality,Parliamentary system,Constitutional monarchy	/m/0bg8nwg	French franc,Spanish peseta	376
Squamish Nation	/m/0gqqyt																		
Guadeloupe	/m/037nm		GUADELOUPE	GP	Basse-Terre				Guadeloupe	Euro									
Kingdom of Sicily	/m/02zqdb				Naples,Palermo														
Former Qin	/m/025f9x				Taiyuan,Chang'an														
