name	id	iso3166_1_alpha2	iso3166_1_shortname	fips10_4	capital	fifa_code	iso_numeric	iso_alpha_3	administrative_divisions	currency_used	official_language	gdp_nominal	gdp_nominal_per_capita	internet_tld	languages_spoken	form_of_government	national_anthem	currency_formerly_used	calling_code
Bangladesh	/m/0162b		BANGLADESH	BG	Dhaka				Narsingdi District,Sherpur District,Tangail District,Faridpur District,Mymensingh District,Munshiganj District,Kurigram District,Khulna District,Narayanganj District,Rajbari District,Khagrachari District,Satkhira District,Shariatpur District,Chandpur District,Narail District,Habiganj District,Feni District,Thakurgaon District,Bagerhat District,Jamalpur District,Barisal District,Sirajganj District,Naogaon District,Bogra District,Pirojpur District,Comilla District,Brahmanbaria District,Barisāl Division,Dhaka,Gazipur District,Khulna Division,Chittagong,Bhola District,Sylhet Division,Netrokona District,Kushtia District,Rajshahi District,Dhaka Division,Magura District,Sylhet District,Moulvibazar District,Gaibandha District,Nawabganj District,Dinajpur District, Bangladesh,Bandarban District,Chuadanga District,Panchagarh District,Noakhali District,Pabna District,Gopalganj District,Rangpur District,Cox's Bazar District,Natore District,Jhenaidah District,Jaipurhat District,Jhalkathi District,Jessore District,Manikganj District,Patuakhali District,Meherpur District,Rangamati District,Barguna District,Chittagong Division,Kishoreganj District,Nilphamari District,Lalmonirhat District,Madaripur District,Sunamganj District,Lakshmipur District,Rajshahi Division	Bangladeshi taka	Bengali Language			bd	Mundari Language,Bengali Language	Parliamentary system,Parliamentary republic	/m/048sgkt		880
Western Sahara	/m/082qk		WESTERN SAHARA	WI	El Aaiún					Moroccan dirham	Hassaniya,Spanish Language,Berber languages,French Language,Arabic Language			eh	Arabic Language	Semi-presidential system		Spanish peseta	212
Caliphate of Córdoba	/m/04q7yp				Córdoba														
Württemberg	/m/0sw1x																		
Vatican City	/m/07ytt		HOLY SEE (VATICAN CITY STATE)	VT						Euro	Latin Language,Italian Language			va	English Language,Italian Language,French Language,Spanish Language,Portuguese Language,German Language	Theocracy,Absolute monarchy	/m/0bfpczz	San Marinese lira,Vatican lira	
Muscovy	/m/0c83z																		
Babylonia	/m/0cn3b														Akkadian language				
Kyrgyzstan	/m/016t91		KYRGYZSTAN	KG	Bishkek				Osh Province,Issyk Kul Province,Talas Province,Chuy Province,Bishkek,Naryn Province,Jalal-Abad Province,Batken Province	Kyrgyzstani som	Kyrgyz language,Russian Language			kg	Russian Language	Presidential system,Parliamentary republic,Republic			
Dominica	/m/027nb		DOMINICA	DO	Roseau				Saint Joseph Parish,Saint Patrick Parish,Saint David Parish,Saint Andrew Parish,Saint Paul Parish,Saint Luke Parish,Saint George Parish,Saint Peter Parish,Saint John Parish,Saint Mark Parish	East Caribbean dollar	English Language,French Language,Antillean Creole			dm	English Language	Parliamentary republic			
Latvia	/m/04g5k		LATVIA	LG	Riga				Saldus District,Jēkabpils District,Cēsis District,Madona District,Ventspils District,Liepāja District,Ludza District,Valka District,Valmiera District,Alūksne District,Rēzekne,Dobele District,Liepāja,Bauska District,Balvi District,Rēzekne District,Riga,Talsi District,Kraslava District,Rīga District,Tukums District,Daugavpils District,Ventspils,Preiļi District,Daugavpils,Kuldīga District,Gulbene District,Aizkraukle District,Ogre District,Limbaži District	Latvian lats	Latvian Language			lv		Parliamentary republic			
Montserrat	/m/04wcf		MONTSERRAT	MH	Plymouth,Brades,Plymouth, Montserrat				Saint Georges Parish,Saint Peter Parish,Saint Anthony Parish	East Caribbean dollar	English Language			ms	English Language				
Antarctica	/m/0jfx		ANTARCTICA	AY												Antarctic Treaty System			
Fiji	/m/02wt0		FIJI	FJ	Suva				Eastern Division, Fiji,Central Division, Fiji,Western Division, Fiji,Northern Division, Fiji	Fijian pound,Fijian dollar	Fijian Language,English Language,Hindustani language,Fiji Hindi			fj	English Language,Tamil Language	Republic,Military junta,Parliamentary republic,Military dictatorship	/m/0478ldb	Fijian pound	
Iraqi Kurdistan	/m/0329by				Arbil					Iraqi dinar,Turkish lira,Turkish new lira,US$	Kurdish language,Azerbaijani language,Arabic Language,Assyrian Neo-Aramaic Language					Parliamentary system			
Ecuador	/m/02k1b		ECUADOR	EC	Quito				Pastaza Province,Cañar Province,Pichincha Province,Chimborazo Province,Pastaza River,Guayas Province,Sucumbíos Province,Tungurahua Province,Cotopaxi Province,Orellana Province,Napo Province,Bolívar Province,Los Ríos Province,Morona-Santiago Province,Azuay Province,Loja Province,Galápagos Province,El Oro Province,Zamora-Chinchipe Province,Imbabura Province,Carchi Province,Esmeraldas Province,Manabí Province	US$,Ecuadorian sucre	Spanish Language,Quechua			ec	Spanish Language	Presidential system,Republic	/m/0d9dvqy	Ecuadorian sucre	
Rashidun Caliphate	/m/02wvgjs				Medina,Kufa											Caliphate			
Grand Duchy of Tuscany	/m/0327fc				Florence														
Greenland	/m/035v3		GREENLAND	GL	Nuuk					Danish krone	Danish Language,Greenlandic language			gl			/m/0d7w3yx		
Grand Duchy of Hesse	/m/0263n6m																		
Netherlands	/m/059j2		NETHERLANDS	NL	Amsterdam				Gelderland,Drenthe,Goes,South Holland,Utrecht,Amsterdam,Overijssel,Groningen,North Holland,Friesland,Curaçao,North Brabant,De Bilt,Limburg,The Hague,Zeeland,Netherlands Antilles,Flevoland,Amstelveen	Euro,Aruban florin,Netherlands Antillean gulden	Dutch Language			nl	Dutch Language,Frisian language	Parliamentary system,Constitutional monarchy,Monarchy	/m/0d89b8b	Dutch gulden	
Papal States	/m/0g6k2				Rome					Papal States scudo									
Burundi	/m/0169t		BURUNDI	BY	Bujumbura				Ruyigi Province,Makamba Province,Kirundo Province,Rutana Province,Kayanza Province,Ngozi Province,Bujumbura Rural Province,Cibitoke Province,Cankuzo Province,Karuzi Province,Bubanza Province,Gitega Province,Mwaro Province,Muramvya Province,Bururi Province,Muyinga Province	Burundian franc	Kirundi language,Swahili Language,Kanuri language,French Language			bi	Swahili Language,French Language	Republic		German East African rupie	
Botswana	/m/0166v		BOTSWANA	BC	Gaborone				Ghanzi District,South-East District,Kgalagadi,Kweneng District,Central District,Kgatleng District,Southern District,North-East District,North-West District	Botswana pula	Tswana Language,English Language			bw	English Language,Afrikaans Language	Parliamentary republic			
Somaliland	/m/0dkly				Hargeisa					Somaliland shilling	Somali Language,English Language,Arabic Language					Constitutional republic,Representative democracy,Presidential system,Republic			
Republic of Serbian Krajina Government in Exile	/m/09dbj3															Government in exile			
Kingdom of Montenegro	/m/08_lvz									Montenegrin Perper									
